Term,Year,Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,Academic Program Code
Spring,2019,120191 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0031 ,Agroecology ,8,2,6,0,6,0,1,0,0,0,0,1,0,1,0,0,0,5,3,10KL0031BS
Spring,2019,120191 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0032 ,Plant Protection ,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10KL0032BS
Spring,2019,120191 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0033 ,Crops ,19,13,6,0,16,1,0,0,0,0,0,2,0,0,0,0,1,16,3,10KL0033BS
Spring,2019,120191 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0034 ,Crop Agribusiness ,26,17,9,0,23,0,0,0,0,0,2,1,0,1,0,0,1,25,1,10KL0034BS
Spring,2019,120191 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0035 ,Plant Biotech & Molecular Bio ,51,29,22,0,38,5,1,3,0,0,2,2,0,1,1,0,7,46,5,10KL0035BS
Spring,2019,120191 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0036 ,Biological Sciences ,6,3,3,0,3,0,1,1,0,0,1,0,0,1,0,0,1,5,1,10KL0036BS
Spring,2019,120191 ,KL ,802 ,BS ,0030 ,Crop Sciences ,5560 ,Horticultural Food Systems ,14,5,9,0,10,0,0,2,0,0,2,0,0,1,2,0,0,14,0,10KL5560BS
Spring,2019,120191 ,KL ,802 ,BS ,0063 ,Horticulture ,5301 ,Specialty Crops ,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10KL0063BS
Spring,2019,120191 ,KL ,802 ,BS ,5623 ,Computer Science&Crop Sciences ,  ,  ,5,5,0,0,0,2,0,0,0,0,0,3,0,0,0,0,2,0,5,10KL5623BS
Spring,2019,120191 ,KL ,802 ,MS ,0030 ,Crop Sciences ,  ,  ,32,22,10,0,22,0,0,1,0,0,1,8,0,0,0,0,1,23,9,10KS0030MS
