term/year_code,coll,dept,degree,major_code,major_name,conc_code,concentration_name_(if_any),total,by_gender_men,by_gender_women,by_gender_unknown,by_self-reported_race/ethnicity_caucasian,by_self-reported_race/ethnicity_asian_american,by_self-reported_race/ethnicity_african_american,by_self-reported_race/ethnicity_hispanic,by_self-reported_race/ethnicity_native_american,by_self-reported_race/ethnicity_international,by_self-reported_race/ethnicity_unknown,by_residency_illinois,by_residency_non-illinois,academic_program_code,term,year,by_self-reported_race/ethnicity_hawaiian/pacific_isl,by_self-reported_race/ethnicity_multiracial,all_students_including_multiracial_and_hispanic_all_african_american,all_students_including_multiracial_and_hispanic_all_native_american,all_students_including_multiracial_and_hispanic_all_hawaiian/_pac_isl,all_students_including_multiracial_and_hispanic_all_asian,by_self-reported_race/ethnicity_all_african_american,by_self-reported_race/ethnicity_all_native_american,urm_urm
120071 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,5033 ,"Agr, Cons, Env Sci Communictn ",38,7,31,0,33,1,1,2,0,0,1,38,0,10KL5033BS,sp,07,,,,,,,,,
120071 ,KL ,793 ,BS ,0048 ,Human Development & Family St ,0049 ,Child and Adolescent Dev ,143,8,135,0,113,6,11,11,0,0,2,137,6,10KL0049BS,sp,07,,,,,,,,,
120071 ,KL ,793 ,BS ,0048 ,Human Development & Family St ,0050 ,Family Studies ,76,12,64,0,62,5,4,5,0,0,0,76,0,10KL0050BS,sp,07,,,,,,,,,
120071 ,KL ,793 ,MS ,0181 ,Agricultural Education ,  ,  ,4,2,2,0,3,0,0,0,0,1,0,2,2,10KS0181MS,sp,07,,,,,,,,,
120071 ,KL ,793 ,MS ,0181 ,Agricultural Education ,  ,  ,1,1,0,0,1,0,0,0,0,0,0,1,0,10KS0181MSU,sp,07,,,,,,,,,
120071 ,KL ,793 ,MS ,0183 ,Human & Community Development ,  ,  ,5,0,5,0,4,1,0,0,0,0,0,2,3,10KS0183MS,sp,07,,,,,,,,,
120071 ,KL ,793 ,PHD ,0183 ,Human & Community Development ,  ,  ,20,5,15,0,8,2,3,1,0,6,0,4,16,10KS0183PHD,sp,07,,,,,,,,,
120071 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0031 ,Agroecology ,3,2,1,0,3,0,0,0,0,0,0,3,0,10KL0031BS,sp,07,,,,,,,,,
120071 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0032 ,Plant Protection ,1,1,0,0,1,0,0,0,0,0,0,1,0,10KL0032BS,sp,07,,,,,,,,,
120071 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0033 ,Crops ,16,14,2,0,15,0,0,1,0,0,0,16,0,10KL0033BS,sp,07,,,,,,,,,
120071 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0034 ,Crop Agribusiness ,28,25,3,0,28,0,0,0,0,0,0,28,0,10KL0034BS,sp,07,,,,,,,,,
120071 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0035 ,Plant Biotech & Molecular Bio ,29,17,12,0,25,0,1,2,0,1,0,24,5,10KL0035BS,sp,07,,,,,,,,,
120071 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0036 ,Biological Sciences ,20,11,9,0,11,3,4,2,0,0,0,19,1,10KL0036BS,sp,07,,,,,,,,,
120071 ,KL ,802 ,MS ,0030 ,Crop Sciences ,  ,  ,32,16,16,0,20,3,1,0,0,8,0,18,14,10KS0030MS,sp,07,,,,,,,,,
120071 ,KL ,802 ,NDEG ,0030 ,Crop Sciences ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,0,1,10KS0030NDEG,sp,07,,,,,,,,,
120071 ,KL ,802 ,PHD ,0030 ,Crop Sciences ,  ,  ,27,16,11,0,10,1,0,1,0,15,0,5,22,10KS0030PHD,sp,07,,,,,,,,,
120071 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,0052 ,Biological Sciences ,2,2,0,0,2,0,0,0,0,0,0,2,0,10KL0052BS,sp,07,,,,,,,,,
120071 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,0053 ,Social Science ,1,1,0,0,1,0,0,0,0,0,0,1,0,10KL0053BS,sp,07,,,,,,,,,
120071 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,0056 ,Environmental Soil & Water Sci ,1,0,1,0,1,0,0,0,0,0,0,1,0,10KL0056BS,sp,07,,,,,,,,,
120071 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,0057 ,Fish and Wildlife Conservation ,78,56,22,0,70,2,0,2,0,0,4,78,0,10KL0057BS,sp,07,,,,,,,,,
120071 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,3870 ,Forest Science ,14,10,4,0,12,1,0,1,0,0,0,13,1,10KL3870BS,sp,07,,,,,,,,,
120071 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,3871 ,Human Dimensions ,42,14,28,0,36,4,1,1,0,0,0,40,2,10KL3871BS,sp,07,,,,,,,,,
120071 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,3872 ,Resource Ecology ,52,30,22,0,45,2,1,2,0,0,2,50,2,10KL3872BS,sp,07,,,,,,,,,
120071 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,3873 ,Soil and Water Science ,9,4,5,0,8,1,0,0,0,0,0,8,1,10KL3873BS,sp,07,,,,,,,,,
120071 ,KL ,875 ,BS ,0063 ,Horticulture ,  ,  ,1,1,0,0,1,0,0,0,0,0,0,1,0,10KL0063BSX,sp,07,,,,,,,,,
120071 ,KL ,875 ,BS ,0063 ,Horticulture ,0064 ,Horticulture Science ,4,4,0,0,3,1,0,0,0,0,0,4,0,10KL0064BS,sp,07,,,,,,,,,
120071 ,KL ,875 ,BS ,0063 ,Horticulture ,0065 ,Production and Management ,59,36,23,0,55,0,0,2,0,0,2,58,1,10KL0065BS,sp,07,,,,,,,,,
120071 ,KL ,875 ,BS ,0063 ,Horticulture ,0066 ,Urban Forestry ,3,2,1,0,3,0,0,0,0,0,0,3,0,10KL0066BS,sp,07,,,,,,,,,
120071 ,KL ,875 ,MS ,0190 ,Natural Res & Env Sciences ,  ,  ,55,25,30,0,46,1,0,1,0,6,1,30,25,10KS0190MS,sp,07,,,,,,,,,
120071 ,KL ,875 ,MS ,0190 ,Natural Res & Env Sciences ,  ,  ,1,0,1,0,0,1,0,0,0,0,0,1,0,10KS0190MSX,sp,07,,,,,,,,,
120071 ,KL ,875 ,NDEG ,0190 ,Natural Res & Env Sciences ,  ,  ,2,1,1,0,2,0,0,0,0,0,0,2,0,10KS0190NDEG,sp,07,,,,,,,,,
120071 ,KL ,875 ,PHD ,0190 ,Natural Res & Env Sciences ,  ,  ,39,21,18,0,18,4,0,0,0,17,0,15,24,10KS0190PHD,sp,07,,,,,,,,,
120071 ,KL ,971 ,MS ,0191 ,Nutritional Sciences ,  ,  ,24,4,20,0,16,3,1,2,0,2,0,15,9,10KS0191MS,sp,07,,,,,,,,,
120071 ,KL ,971 ,PHD ,0191 ,Nutritional Sciences ,  ,  ,37,11,26,0,19,3,2,2,0,11,0,13,24,10KS0191PHD,sp,07,,,,,,,,,
120071 ,KM ,230 ,MBA ,9875 ,Business Administration (MBA) ,  ,  ,50,41,9,0,32,7,2,1,0,5,3,47,3,10KS4064MBA,sp,07,,,,,,,,,
120071 ,KM ,230 ,MBA ,9875 ,Business Administration (MBA) ,  ,  ,189,122,67,0,47,16,7,4,1,111,3,58,131,10KS9875MBA,sp,07,,,,,,,,,
